XAI Method,ML Model,Feature Name,Total Importance
SHAP,LGBM,S,2382.213067662374
SHAP,LGBM,Duration,1468.3861247527598
SHAP,LGBM,F,839.8784787442863
SHAP,LGBM,Proto_UDP,465.22836665236497
SHAP,LGBM,Tos,620.958346813336
SHAP,LGBM,A,623.2698447075793
SHAP,LGBM,P,60.6714445724878
SHAP,LGBM,Packets,564.4230113600665
SHAP,LGBM,R,107.2740024576551
SHAP,LGBM,Proto_TCP,2.064476907892383
LIME,LGBM,S,191.1954291550848
LIME,LGBM,F,168.98197548356939
LIME,LGBM,R,146.77175675344304
LIME,LGBM,Tos,76.36914375444078
LIME,LGBM,Duration,50.57582479809239
LIME,LGBM,P,7.739946855482033
LIME,LGBM,Packets,8.881920385785271
LIME,LGBM,Proto_UDP,6.136407195703921
LIME,LGBM,Proto_TCP,0.0
LIME,LGBM,A,0.0
